path,collection,edition,series,filename
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/08-Nieuweschans-1.jpg,waterstaatskaarten,1e,eerste-editie,08-Nieuweschans-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/08-Nieuweschans-2.jpg,waterstaatskaarten,1e,eerste-editie,08-Nieuweschans-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/09-Helder-1.jpg,waterstaatskaarten,1e,eerste-editie,09-Helder-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/09-Helder-2.jpg,waterstaatskaarten,1e,eerste-editie,09-Helder-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/10-Sneek-1.jpg,waterstaatskaarten,1e,eerste-editie,10-Sneek-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/10-Sneek-2.jpg,waterstaatskaarten,1e,eerste-editie,10-Sneek-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/10-Sneek-3.jpg,waterstaatskaarten,1e,eerste-editie,10-Sneek-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/10-Sneek-4.jpg,waterstaatskaarten,1e,eerste-editie,10-Sneek-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/11-Heerenveen-1.jpg,waterstaatskaarten,1e,eerste-editie,11-Heerenveen-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/11-Heerenveen-2.jpg,waterstaatskaarten,1e,eerste-editie,11-Heerenveen-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/11-Heerenveen-3.jpg,waterstaatskaarten,1e,eerste-editie,11-Heerenveen-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/12-Assen-1.jpg,waterstaatskaarten,1e,eerste-editie,12-Assen-1
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/12-Assen-2.jpg,waterstaatskaarten,1e,eerste-editie,12-Assen-2
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/12-Assen-3.jpg,waterstaatskaarten,1e,eerste-editie,12-Assen-3
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/12-Assen-4.jpg,waterstaatskaarten,1e,eerste-editie,12-Assen-4
https://webdata.tudelft.nl/staff-umbrella/digitalcollections/library/kaartenkamer/waterstaatskaart/1e/eerste-editie/13-Bourtange-1.jpg,waterstaatskaarten,1e,eerste-editie,13-Bourtange-1
